id,profileName,text,date,title,rating,images,helpful,Size name,Colour
R2YC44AQKJTSKF,Hitesh Patel,Awesome Awesome ExperienceBest Phone…..,Reviewed in India 🇮🇳 on 20 July 2022,Best Phone so far…….. No competition,5,,2,,
R238HNR10BN9SU,Vijay Joshi,Abhi to Maine iPhone 11 use karahta Abhi Mai iPhone 13 Ilya hoo ye to Badiya hai Lekin price bahut jada hua camera aur battery futures acche hai,Reviewed in India 🇮🇳 on 21 July 2022,I switched from 11 to 13 pro max Amazing product batter life is superb,5,"https://m.media-amazon.com/images/I/71-XykgSS7L.jpg
https://m.media-amazon.com/images/I/71KaQG93r8L.jpg
https://m.media-amazon.com/images/I/71Pq5n97YtL.jpg
https://m.media-amazon.com/images/I/810IJxEN16L.jpg
https://m.media-amazon.com/images/I/81SCqwnPV4L.jpg
https://m.media-amazon.com/images/I/81hL0KNq1dL.jpg
https://m.media-amazon.com/images/I/81j87M-SalL.jpg",12,,
R4MT8G85778SX,DS,I have started using iPhone from 5 series and since then this is 7th iPhone which I upgrade and I must say till date this has got the best battery I have observed in any of my previous iPhones. Camera quality you can’t even think of comparing it with any other phone in the world. You definitely don’t need to carry a FSLR or a video cam after you own this piece. You can literally make a professional movie from its camera.The only thing is that you need to shell out hell lot of money to be the owner of this beauty but at the end it’s gives you the satisfaction nothing else can give you because you own the best.My suggestion is go for it only if you have the capacity to own it.,Reviewed in India 🇮🇳 on 11 April 2022,The best ever phone in the market,5,,11,,
RNOS74H6IUVJ3,Prathamesh kolhe,,Reviewed in India 🇮🇳 on 9 August 2022,Best phone ever 😍,5,"https://m.media-amazon.com/images/I/619bMCH6s2L.jpg
https://m.media-amazon.com/images/I/619bMCH6s2L.jpg
https://m.media-amazon.com/images/I/61UgZPiECEL.jpg
https://m.media-amazon.com/images/I/61UgZPiECEL.jpg",3,,
R30BZVD3OF4YMB,KETAN PATEL,Super smart phone camera osm clearity,Reviewed in India 🇮🇳 on 10 July 2022,Super smart phone,5,https://m.media-amazon.com/images/I/71azUFOJbGL.jpg,0,,
R4S2LRZXE8N32,Rahul Das,Best in the world,Reviewed in India 🇮🇳 on 14 July 2022,Best in the world,5,,1,256GB,Graphite
R1U5BS5I3UR1CY,Govind Madhu,The best smartphone i have ever used. Great battery life.  12 hours of screen on time.  Need to charge once in two days only even with heavy usage.  Charging is fast with 30 watt apple charger.  Best camera quality.  Speakers are excellent.  Face unlock is best.Perfect sync with ipad through icloud.This is my first apple phone and i am never going back to android.,Reviewed in India 🇮🇳 on 5 April 2022,All in one smartphone,5,,1,,
R2NW7W4U65WLKL,albert james,"Would first like to tell that don’t listen to other comments,those are the people spreading negativityThe retailer and the seller are all genuine and delivery experience was really good.I was scared about Appario digital after reading all comments but I got a genuine product.The packaging was not up to the mark but the phone is awesome.Don’t listen to the negative commentsJust go buy it !",Reviewed in India 🇮🇳 on 11 April 2022,Good and genuine product,5,,1,,
R9MMXE0AXXMTB,Abi,Awesome performance and battery life…used  iPhone 6s Plus back when it was launched ditched apple and moved to android for some years..now back to apple as primary phone mainly because I’m now in the apple ecosystem..expensive for what it is though,Reviewed in India 🇮🇳 on 8 May 2022,Good,5,,1,,
R2BNZOBCP0NAXY,Rajiv Bali,"Good solid phone. I must say the best iPhone so far. Battery backup is excellent, beautiful display and powered by fast chip.",Reviewed in India 🇮🇳 on 2 June 2022,It’s a beautiful device packed with great performance,5,,0,256GB,Graphite
R1YG762NP8HBRO,Neha Dhatwalia,Charging k time heat karta h so please don't waste your money,Reviewed in India 🇮🇳 on 7 October 2022,Waste of money,2,,0,256GB,Silver
R2G39WGIZ5TBEI,Cara k,"M beyond happier and happiest ❤️ 13 pro max perfect screen and very soft screen ❤️My dream phone 🦋 💃 The camera is honestly better then tRhe DSLR , Easy to use 🦋 thank q",Reviewed in India 🇮🇳 on 7 June 2022,M excited with the Camera over all,5,"https://m.media-amazon.com/images/I/61AeVo-4VeL.jpg
https://m.media-amazon.com/images/I/81AqJasTFRL.jpg",10,256GB,Gold
R2BY1DRS640NYG,ADARSH KUMAR ,some times my screen touch not working when I play game.And seal was broken by seller side.,Reviewed in India 🇮🇳 on 29 September 2022,Mat lo koi v Paisa barbaad h,2,,0,128GB,Graphite
R1SS3XTZDB4MXM,Paresh Thakur ,everything working fine also phone is amazing with no problem. genuine product Must buy apple is apple no complaints at all one month use phone great apple great choice fully satisfied with amazon,Reviewed in India 🇮🇳 on 11 May 2022,Amazing phone must buy,5,"https://m.media-amazon.com/images/I/51Dz3hnWq2L.jpg
https://m.media-amazon.com/images/I/51IZ4b9C6AL.jpg
https://m.media-amazon.com/images/I/614Vw780LGL.jpg
https://m.media-amazon.com/images/I/61vlLQH2l-L.jpg",2,,
R1R0W188UU7EO5,Fiona,,Reviewed in India 🇮🇳 on 9 April 2022,Somewhat heavy and big for gaming. Nevertheless awesome for everything,4,https://m.media-amazon.com/images/I/71Qy-2uZ3+L.jpg,1,128GB,Graphite
RDZH1JMO6HS7L,Biswajit Baruah,This was my dream phone since it was launched in 2021. The lovely camera shots especially in low light conditions is quite appreciable. The battery life efficiency is quite impressive. Love the i-os graphical user interface. Overall a very excellent product from Apple. Thank you.,Reviewed in India 🇮🇳 on 1 May 2022,Best I-Phone,5,"https://m.media-amazon.com/images/I/6110-7rErZL.jpg
https://m.media-amazon.com/images/I/71pK-vwREXL.jpg
https://m.media-amazon.com/images/I/81UzGsL1IqL.jpg",5,256GB,Graphite
R2U0YH9M9KLFDY,Ganesh Markad,"Pro max is too big, go for pro.best in all the features and performance.",Reviewed in India 🇮🇳 on 21 March 2022,Too big to operate by one hand,4,,4,256GB,Graphite
R3JVU529KN3CMZ,Karna Nath,Iam very happy 😃,Reviewed in India 🇮🇳 on 17 June 2022,Battery 🔋,5,,1,128GB,Silver
RN8V5MTET13J,MOHAN CHANDRA,सशानदार है,Reviewed in India 🇮🇳 on 20 June 2022,बहुत शानदार फ़ोन है फ़ुल रुपए वशुल है,5,,2,,
RL897WEGE89KV,Peter Arokyadoss ,A satisfying product and I use it as my personal hand phone.,Reviewed in India 🇮🇳 on 31 May 2022,Everything looks fine; thank you Amazon…!!!,5,,1,,
R1K3EUOQQK9UE0,Subhasish Pati,Awesome,Reviewed in India 🇮🇳 on 8 April 2022,Awesome,4,,1,,
R3HZWQSKZ5FQNF,BALVINDER ARYA,Show all ok but delay in performance,Reviewed in India 🇮🇳 on 4 June 2022,Fake product delivery to me,5,,2,,
R1NKVY2WMII2CS,Kanthi mathi,Awesome battery life,Reviewed in India 🇮🇳 on 1 June 2022,Good Phone but you better wait for iphone14,5,,0,256GB,Gold
R28KL6T1JM4UUO,Teja,Good product from apple  processor of A15chip is cool and fast  screening also in ultrahd  battery life is also good  as we excepted,Reviewed in India 🇮🇳 on 30 January 2022,Good product from apple  processor of A15chip is cool and fast  screening also in ultrahd,4,,0,,
R274K68BJ34E5L,Sudhanshu Singh,"1st thing 1st... Look -- Very good looking phone and feel premium when you hold it.A refresh rate of 120Hz is good to feel on 13 pro max. Camera quality is just superb, pics from 13 pro max looks more real as compare to other premium segments which are using more AI and color combinations. Battery life is also outstanding, with normal use a fully charged can go up to 2 days.  Very smooth and fast performance. Just go for it.",Reviewed in India 🇮🇳 on 31 January 2022,Superb Phone,5,,1,,
R2TGGUIDPSQPGS,Shiva gupta,Packing bhut hi kharab tha phone phone ko le k koi bhi sefti ni tha  es se kharab paching ho hi ni skta h es me. Sudhar laeye kyu ki. Koi bhi etna mahnga phone lega to. Sefti. Hona chahiye,Reviewed in India 🇮🇳 on 22 December 2021,Phone bahut acha ha bt packing bhut kharab tha delevery  ka,4,,2,,
R2K7YNGBBH90YW,Susmita,"Took the chance to order from Amazon and loved it totally !! Camera and specially videos are perfect, and overall totally awesome mobi! Love the feel of it ! Battery is Top as it lasts for such a long time. This is one of the major feature of this model.Worth the investment :) The best one in the market ! I got Grey variant ! Feels like a handy DSLR! Love it :)",Reviewed in India 🇮🇳 on 16 February 2022,Awesome !!,5,,8,128GB,Graphite
RVVR65OK6RKY1,Maharshi,I can get the same features and more in samsung s22 ultra waste of money spending this much on an iphone i already sold it to another person to reduce the value of apple,Reviewed in India 🇮🇳 on 30 March 2022,Not value for money,5,,2,,
R1Q2ACXE86QTNK,Anveer Creatives,"The best iPhone in a span of 13 years.PROS :1. Smaller notch.2. Great Battery life.3. Awesome camera esp. the new Cinematic Mode.CONS:1. Feels too bulky, using a cover is making it more bulky.",Reviewed in India 🇮🇳 on 5 April 2022,iPhone user -13. Years,5,,6,256GB,Gold
